ID,LIMIT_BAL,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,PAY_AMT4,default.payment.next.month
1,20000,2,2,3913,3102,0,689,0,1
2,120000,-1,2,2682,1725,0,1000,1000,1
3,90000,0,0,29239,14027,1518,1500,1000,0
4,50000,0,0,46990,48233,2000,2019,1100,0
5,50000,-1,0,8617,5670,2000,36681,9000,0
6,50000,0,0,64400,57069,2500,1815,1000,0
7,5.00E+05,0,0,367965,412023,55000,40000,20239,0
8,1.00E+05,0,-1,11876,380,380,601,581,0
9,140000,0,0,11285,14096,3329,0,1000,0
10,20000,-2,-2,0,0,0,0,13007,0
11,2.00E+05,0,0,11073,9787,2306,12,300,0
12,260000,-1,-1,12261,21670,21818,9966,22301,0
13,630000,-1,0,12137,6500,1000,6500,6500,0
14,70000,1,2,65802,67369,3200,0,3000,1
15,250000,0,0,70887,67060,3000,3000,3000,0
16,50000,1,2,50614,29173,0,1500,1200,0
17,20000,0,0,15376,18010,3200,0,0,1
18,320000,0,0,253286,246536,10358,10000,20000,0
19,360000,1,-2,0,0,0,0,0,0
20,180000,1,-2,0,0,0,0,0,0
21,130000,0,0,38358,27688,3000,1537,2000,0
22,120000,-1,-1,316,316,316,316,632,1
23,70000,2,0,41087,42445,2007,3582,3601,1
24,450000,-2,-2,5512,19420,19428,1473,0,1
25,90000,0,0,4744,7070,5757,0,1200,0
26,50000,0,0,47620,41810,1973,1426,1432,0
27,60000,1,-2,-109,-425,0,1000,500,1
28,50000,0,0,22541,16138,1300,1300,1500,0
29,50000,-1,-1,650,3415,3415,3421,30430,0
30,50000,0,0,15329,16575,1500,1500,1000,0
31,230000,-1,-1,16646,17265,17270,13281,14307,0
32,50000,2,0,30518,29618,1718,1500,1000,1
33,1.00E+05,0,0,93036,84071,3023,3511,3204,0
34,5.00E+05,-2,-2,10929,4152,4152,22827,71439,0
35,5.00E+05,-2,-2,13709,5006,5006,31178,0,0
36,160000,-1,-1,30265,-131,131,396,565,0
37,280000,0,0,186503,181328,8026,8060,6400,0
38,60000,0,0,15054,9806,1500,1518,0,0
39,50000,1,-1,0,780,780,0,0,1
40,280000,-1,-1,498,9075,9075,0,8000,0
41,360000,0,0,218668,221296,10000,7000,188840,0
42,70000,0,0,67521,66999,3000,4500,2500,0
